,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,GlobalSales,Global_Sales,player_demographic
0,1,Wii Sports,Wii,2006-01-01,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,1.0000000000000002,General
1,2,Super Mario Bros.,NES,1985-01-01,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,0.4862806720657562,General
2,3,Mario Kart Wii,Wii,2008-01-01,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,0.4328538619605948,All Ages
3,4,Wii Sports Resort,Wii,2009-01-01,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,0.3987670736129579,General
4,5,Pokemon Red/Pokemon Blue,GB,1996-01-01,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,0.3790644264474798,General
5,6,Tetris,GB,1989-01-01,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,0.3656472863531972,Casual
6,7,New Super Mario Bros.,DS,2006-01-01,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,0.362625407953584,General
7,8,Wii Play,Wii,2006-01-01,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,0.3506587694911157,General
8,9,New Super Mario Bros. Wii,Wii,2009-01-01,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,0.3458237640517346,General
9,10,Duck Hunt,NES,1984-01-01,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,0.3420766348362142,Hardcore
10,11,Nintendogs,DS,2005-01-01,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,0.2991659615617068,General
11,12,Mario Kart DS,DS,2005-01-01,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,0.2829686933397801,All Ages
12,13,Pokemon Gold/Pokemon Silver,GB,1999-01-01,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,0.2791006889882751,General
13,14,Wii Fit,Wii,2007-01-01,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,0.274507433820863,General
14,15,Wii Fit Plus,Wii,2009-01-01,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,0.2658044240299771,General
15,16,Kinect Adventures!,X360,2010-01-01,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,0.2636286715822556,General
16,17,Grand Theft Auto V,PS3,2013-01-01,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,0.2585519158709053,Hardcore
17,18,Grand Theft Auto: San Andreas,PS2,2004-01-01,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,0.2514202828478182,Hardcore
18,19,Super Mario World,SNES,1990-01-01,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,0.2490027801281276,General
19,20,Brain Age: Train Your Brain in Minutes a Day,DS,2005-01-01,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,0.244288649824731,General
20,21,Pokemon Diamond/Pokemon Pearl,DS,2006-01-01,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,0.2218058745316088,General
21,22,Super Mario Land,GB,1989-01-01,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,0.2191466215399493,General
22,23,Super Mario Bros. 3,NES,1988-01-01,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,0.2087513598452799,General
23,24,Grand Theft Auto V,X360,2013-01-01,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,0.1978725976066723,Hardcore
24,25,Grand Theft Auto: Vice City,PS2,2002-01-01,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,0.1950924694790282,Hardcore
25,26,Pokemon Ruby/Pokemon Sapphire,GBA,2002-01-01,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,0.1914662153994923,General
26,27,Pokemon Black/Pokemon White,DS,2010-01-01,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,0.1850598331923124,General
27,28,Brain Age 2: More Training in Minutes a Day,DS,2005-01-01,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,0.1848180829203433,Casual
28,29,Gran Turismo 3: A-Spec,PS2,2001-01-01,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,0.1809500785688384,All Ages
29,30,Call of Duty: Modern Warfare 3,X360,2011-01-01,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,0.1782908255771788,Hardcore
30,31,Pokémon Yellow: Special Pikachu Edition,GB,1998-01-01,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,0.1768403239453644,General
31,32,Call of Duty: Black Ops,X360,2010-01-01,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,0.1768403239453644,Hardcore
32,33,Pokemon X/Pokemon Y,3DS,2013-01-01,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,0.1733349450018131,General
33,34,Call of Duty: Black Ops 3,PS4,2015-01-01,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,0.1720053185059833,Hardcore
34,35,Call of Duty: Black Ops II,PS3,2012-01-01,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,0.1694669406503082,Hardcore
35,36,Call of Duty: Black Ops II,X360,2012-01-01,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,0.1658406865707724,Hardcore
36,37,Call of Duty: Modern Warfare 2,X360,2009-01-01,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,0.1631814335791128,Hardcore
